latitude,longitude
-63.66794,-63.865356
-63.44024,-61.238007
-63.37802,-58.785027
-63.446903,-56.294987
-63.20916,-53.98432
-63.036766,-52.10294
-64.57917,-47.683334
-64.116325,-46.09726
-64.083336,-43.708332
-64.083336,-41.208332
-64.083336,-38.708332
-64.083336,-36.208332
-64.083336,-33.708332
-64.083336,-31.208334
-64.083336,-28.708334
-64.083336,-26.208334
-64.083336,-23.708334
-64.083336,-21.208334
-64.083336,-18.708334
-64.083336,-16.208334
-64.083336,-13.708333
-64.083336,-11.208333
-64.083336,-8.708333
-64.083336,-6.2083335
-64.083336,-3.7083333
-64.083336,-1.2083334
-64.083336,1.2916666
-64.083336,3.7916667
-64.083336,6.2916665
-64.083336,8.791667
-64.083336,11.291667
-64.083336,13.791667
-64.083336,16.291666
-64.083336,18.791666
-64.083336,21.291666
-64.083336,23.791666
-64.083336,26.291666
-64.083336,28.791666
-64.083336,31.291666
-64.083336,33.791668
-64.083336,36.291668
-64.083336,38.791668
-64.083336,41.291668
-64.083336,43.791668
-64.083336,46.291668
-64.083336,48.791668
-64.083336,51.291668
-64.083336,53.791668
-64.083336,56.291668
-64.083336,58.791668
-64.083336,61.291668
-64.083336,63.791668
-64.083336,66.291664
-64.083336,68.791664
-64.083336,71.291664
-64.083336,73.791664
-64.083336,76.291664
-64.083336,78.791664
-64.083336,81.291664
-64.083336,83.791664
-64.083336,86.291664
-64.083336,88.791664
-64.083336,91.291664
-64.083336,93.791664
-63.776985,96.19194
-63.8441,98.88632
-63.680508,101.37426
-63.89566,103.767586
-64.03029,106.3268
